unweighted,neg_temp,pos_temp
34,66,8
11,24,49
14,27,24
26,16,35
10,23,21
15,15,11
36,24,20
10,11,26
26,33,42
14,63,59
21,35,10
35,51,38
10,43,44
23,10,28
14,15,22
25,22,45
34,31,16
19,18,27
22,62,25
12,46,37
28,33,24
27,13,24
18,27,21
52,24,49
30,6,45
20,38,32
21,17,12
36,37,23
64,10,18
23,15,10
59,41,25
15,26,58
20,35,27
41,47,23
14,12,49
13,11,14
23,28,16
25,119,47
19,93,36
56,64,15
64,31,19
20,27,12
31,28,44
26,8,17
22,23,17
51,8,8
14,19,17
61,43,24
12,14,20
73,17,31
18,30,15
84,22,21
19,21,20
37,20,103
24,13,47
43,23,19
25,25,11
29,12,12
26,72,72
21,44,22
13,27,31
47,14,87
24,19,55
68,39,27
62,6,13
13,18,34
33,52,26
29,44,39
27,25,24
17,21,68
30,36,41
57,37,68
27,20,21
18,22,12
23,36,31
23,45,16
46,45,38
15,31,29
53,37,34
17,25,31
47,28,36
50,18,37
44,22,21
20,10,20
64,13,4
16,29,15
14,13,30
19,34,13
46,19,27
13,24,14
16,25,44
6,54,18
43,32,21
34,14,27
43,26,33
22,22,16
15,66,18
25,37,16
46,25,21
22,51,24
